Shasta County,7.0,10.0,25.5,44.4,20.1,266014
Sierra County,8.5,11.0,26.5,42.7,19.8,102118
Siskiyou County,8.5,11.4,25.4,41.0,22.2,188567
Solano County,5.5,12.5,23.5,38.9,25.1,458583
Sonoma County,4.0,12.8,19.4,34.7,33.1,694882
Stanislaus County,8.6,22.4,28.1,33.0,16.5,322712
Sutter County,9.8,20.8,24.4,36.9,17.9,307563
Tehama County,7.1,17.1,31.1,38.0,13.8,204370
Trinity County,6.1,9.3,32.4,38.2,20.1,80879
Tulare County,11.2,31.8,25.4,28.8,14.0,222337
Tuolumne County,6.2,10.2,28.6,41.4,19.7,292034
Ventura County,5.2,16.6,18.8,32.5,32.2,623647
Yolo County,5.9,14.4,19.2,26.4,40.0,472327
Yuba County,8.6,17.8,24.3,42.3,15.5,279603
Colorado,3.3,9.0,21.7,30.6,38.7,0
Adams County,6.0,17.8,28.5,31.3,22.4,137164
Alamosa County,4.0,16.2,24.4,33.6,25.8,170767
Arapahoe County,3.1,7.7,20.6,31.0,40.7,408027
Archuleta County,3.3,8.6,25.6,30.8,34.9,306018
Baca County,1.7,13.7,29.6,34.9,21.8,89125
Bent County,3.0,15.8,45.5,29.3,9.5,86780
Boulder County,2.7,5.5,12.9,22.3,59.3,556326
Broomfield County,0.0,3.9,15.0,28.5,52.5,464057
Chaffee County,2.6,8.3,26.2,31.1,34.4,349799
Cheyenne County,2.8,9.4,34.0,33.3,23.3,120885
Clear Creek County,3.2,3.1,20.3,32.0,44.6,353111
Conejos County,4.9,16.0,31.7,34.0,18.3,126316
Costilla County,4.8,23.0,26.4,30.6,20.0,127545
Crowley County,3.5,17.2,40.4,32.2,10.2,89013
Custer County,4.0,8.3,21.8,40.5,29.4,211543
Delta County,3.8,12.0,36.9,31.5,19.6,80074
Denver County,0.0,13.6,17.6,23.0,45.7,440108
Dolores County,3.9,9.1,38.7,31.9,20.3,136256
Douglas County,5.2,2.1,12.3,28.1,57.5,149386
Eagle County,2.7,11.2,17.9,25.9,45.0,526150
Elbert County,6.5,3.6,26.1,37.5,32.8,87066
El Paso County,4.9,6.1,20.6,36.8,36.6,127341
Fremont County,7.1,11.3,39.2,33.1,16.4,198238
Garfield County,5.8,13.1,28.7,29.1,29.1,160790
Gilpin County,2.4,2.0,24.3,39.3,34.4,336068
Grand County,5.9,4.3,25.7,32.8,37.2,253097
Gunnison County,2.3,4.7,18.1,24.6,52.6,350580
Hinsdale County,2.5,5.1,22.8,31.1,40.9,363424
