County Name,Median Home Price Q2 2017,Monthly Payment (r=4.5%),Monthly Payment (r=5.0%),Monthly Payment (r=5.5%)
Jenkins County,"62,905",287,304,321
Johnson County,"68,333",312,330,349
Jones County,"132,102",602,638,675
Lamar County,"148,344",676,717,758
Lanier County,"105,006",479,507,537
Georgia,,,,
Laurens County,"90,472",413,437,462
Lee County,"156,051",712,754,797
Liberty County,"121,468",554,587,621
Lincoln County,"123,042",561,594,629
Long County,"118,444",540,572,605
Lowndes County,"137,434",627,664,702
Lumpkin County,"187,650",856,907,959
McDuffie County,"109,380",499,528,559
McIntosh County,"121,830",556,589,623
Macon County,"65,246",298,315,333
Madison County,"137,719",628,665,704
Marion County,"90,172",411,436,461
Meriwether County,"102,294",466,494,523
Miller County,"94,197",430,455,481
Mitchell County,"87,811",400,424,449
Monroe County,"169,256",772,818,865
Montgomery County,"81,425",371,393,416
Morgan County,"221,603","1,011","1,071","1,132"
Murray County,"101,638",463,491,519
Muscogee County,"145,237",662,702,742
Newton County,"166,382",759,804,850
Oconee County,"285,404","1,301","1,379","1,458"
Oglethorpe County,"126,620",577,612,647
Paulding County,"190,919",871,922,976
Peach County,"134,111",612,648,685
Pickens County,"208,062",949,"1,005","1,063"
Pierce County,"105,373",481,509,538
Pike County,"181,508",828,877,928
Polk County,"112,398",513,543,574
Pulaski County,"118,252",539,571,604
Putnam County,"179,560",819,868,918
Quitman County,"71,739",327,347,367
Rabun County,"167,959",766,811,858
Randolph County,"71,633",327,346,366
Richmond County,"108,633",495,525,555
Rockdale County,"174,561",796,843,892
Schley County,"100,903",460,488,516
Screven County,"83,979",383,406,429
Seminole County,"82,170",375,397,420
Spalding County,"133,442",609,645,682
Stephens County,"104,841",478,507,536
Stewart County,"55,135",251,266,282
Sumter County,"87,918",401,425,449
Talbot County,"86,427",394,418,442
Taliaferro County,"62,905",287,304,321
Tattnall County,"93,772",428,453,479
Taylor County,"70,036",319,338,358
Georgia,,,,
Telfair County,"59,179",270,286,302
Terrell County,"88,177",402,426,451
Thomas County,"139,859",638,676,715
Tift County,"119,423",545,577,610
Toombs County,"103,777",473,501,530
Towns County,"210,640",961,"1,018","1,076"
Treutlen County,"75,571",345,365,386
Troup County,"149,226",680,721,763
Turner County,"77,380",353,374,395
Twiggs County,"60,335",275,292,308
Union County,"204,147",931,986,"1,043"
Upson County,"90,366",412,437,462
Walker County,"129,765",592,627,663
Walton County,"209,855",957,"1,014","1,072"
Ware County,"83,554",381,404,427
Warren County,"66,311",302,320,339
Washington County,"87,705",400,424,448
Wayne County,"114,208",521,552,584
Webster County,"60,882",278,294,311
Wheeler County,"49,813",227,241,255
White County,"168,065",766,812,859
Whitfield County,"146,749",669,709,750
Wilcox County,"74,293",339,359,380
Wilkes County,"88,769",405,429,454
Wilkinson County,"73,548",335,355,376
Worth County,"85,191",388,412,435
Hawaii County,"375,676","1,713","1,815","1,920"
Honolulu County,"709,056","3,233","3,426","3,623"
Kauai County,"610,800","2,785","2,951","3,121"
Maui County,"698,944","3,187","3,377","3,572"
Ada County,"306,780","1,399","1,482","1,568"
Adams County,"183,250",836,885,936
Bannock County,"174,426",795,843,891
Bear Lake County,"156,396",713,756,799
Benewah County,"165,971",757,802,848
Bingham County,"162,229",740,784,829
Blaine County,"429,565","1,959","2,075","2,195"
Boise County,"221,470","1,010","1,070","1,132"
Bonner County,"245,104","1,118","1,184","1,253"
Bonneville County,"193,546",883,935,989
Boundary County,"199,539",910,964,"1,020"
Butte County,"121,837",556,589,623
Camas County,"190,734",870,922,975
Canyon County,"212,138",967,"1,025","1,084"
Caribou County,"143,739",655,694,735
Cassia County,"150,672",687,728,770
Clark County,"108,629",495,525,555
Georgia Hawaii Idaho,,,,
Clearwater County,"147,921",675,715,756
Custer County,"190,734",870,922,975
Elmore County,"159,807",729,772,817
Franklin County,"183,802",838,888,939
Fremont County,"173,565",791,839,887
Gem County,"178,038",812,860,910
Gooding County,"147,921",675,715,756
Idaho County,"181,159",826,875,926
Jefferson County,"188,224",858,909,962
Jerome County,"158,927",725,768,812
Kootenai County,"304,918","1,390","1,473","1,558"
Latah County,"228,045","1,040","1,102","1,165"
Lemhi County,"190,844",870,922,975
Lewis County,"132,072",602,638,675
Lincoln County,"139,997",638,676,715
Madison County,"209,665",956,"1,013","1,071"
Minidoka County,"134,053",611,648,685
Nez Perce County,"187,292",854,905,957
Oneida County,"166,851",761,806,853
Owyhee County,"150,399",686,727,769
Payette County,"152,874",697,739,781
Power County,"147,412",672,712,753
Shoshone County,"129,321",590,625,661
Teton County,"320,935","1,464","1,551","1,640"
Twin Falls County,"178,628",815,863,913
Valley County,"283,955","1,295","1,372","1,451"
Washington County,"164,100",748,793,839
Adams County,"130,976",597,633,669
Alexander County,"54,352",248,263,278
Bond County,"122,300",558,591,625
Boone County,"156,173",712,755,798
Brown County,"90,518",413,437,463
Bureau County,"109,113",498,527,558
Calhoun County,"117,735",537,569,602
Carroll County,"101,552",463,491,519
Cass County,"78,463",358,379,401
Champaign County,"176,498",805,853,902
